,state,county,total_population,total_female,total_male,total_one_race_white,percent_female,percent_white,latitude,longitude,num_households,dollar_household_median_income,numGooglePlaces,avgStarRating,closestClinic_mi,avgNumReviews,poli_align
0,Alaska,Aleutians East,3409,1395,2014,497,0.4092109122909944,0.1457905544147844,55.243722,-161.950749,914,72258.0,0.0,,,,republican
1,Alaska,Aleutians West,5251,2256,2995,1286,0.4296324509617216,0.2449057322414778,51.959447,-178.338813,1004,90708.0,,,,,republican
2,Alaska,Anchorage,292545,142897,149648,176279,0.4884616041976448,0.6025705447025244,61.177549,-149.274354,106695,88871.0,0.0,,,,republican
3,Alaska,Bethel,18514,8790,9724,1769,0.4747758453062547,0.0955493140326239,60.928916,-160.15335,4520,57460.0,0.0,,,,republican
4,Alaska,Bristol Bay,849,369,480,380,0.4346289752650176,0.447585394581861,58.731373,-156.986612,315,81563.0,0.0,,,,republican
5,Alaska,Denali,2187,1019,1168,1748,0.4659350708733424,0.7992684042066758,63.682732,-150.026719,531,78750.0,0.0,,,,republican
6,Alaska,Dillingham,4899,2366,2533,793,0.4829557052459686,0.1618697693406817,59.824816,-158.602233,1372,62115.0,0.0,,,,republican
7,Alaska,Fairbanks North Star,97149,44482,52667,70888,0.4578739873802098,0.7296832700285129,64.690832,-146.599867,35298,78321.0,0.0,,,,republican
8,Alaska,Haines,2098,978,1120,1808,0.4661582459485224,0.8617731172545281,59.099905,-135.578102,773,63355.0,0.0,,,,republican
9,Alaska,Hoonah-Angoon,2327,1017,1310,1136,0.4370434035238504,0.4881822088525999,58.076434,-135.1851,811,55990.0,0.0,,,,republican
10,Alaska,Juneau,32240,15828,16412,20873,0.4909429280397022,0.6474255583126551,58.3727,-134.178781,12922,90126.0,0.0,,,,republican
11,Alaska,Kenai Peninsula,58711,28016,30695,47378,0.4771848546269012,0.8069697330994192,60.366373,-152.321973,22768,70609.0,0.0,,,,republican
12,Alaska,Ketchikan Gateway,13939,6748,7191,8970,0.4841093335246431,0.6435181863835282,55.449938,-131.106685,5487,77820.0,,,,,republican
13,Alaska,Kodiak Island,13218,6251,6967,6924,0.4729157209865335,0.5238311393554245,57.553611,-153.630911,4416,83765.0,0.0,,,,republican
14,Alaska,Lake and Peninsula,986,536,450,240,0.5436105476673428,0.2434077079107505,58.205065,-156.705188,319,49688.0,0.0,,,,republican
15,Alaska,Matanuska-Susitna,106807,51145,55662,86075,0.4788543822034136,0.805892872190025,62.182174,-149.407974,38056,79300.0,,,,,republican
16,Alaska,Nome,10070,4801,5269,1467,0.4767626613704071,0.1456802383316782,64.783686,-164.188912,2714,63977.0,0.0,,,,republican
17,Alaska,North Slope,10865,4399,6466,3108,0.4048780487804878,0.2860561435803037,69.449343,-153.47283,2103,83992.0,,,,,republican
18,Alaska,Northwest Arctic,7776,3592,4184,870,0.4619341563786008,0.1118827160493827,67.005066,-160.021086,1756,68654.0,0.0,,,,republican
19,Alaska,Petersburg,3368,1624,1744,2175,0.4821852731591449,0.6457838479809976,56.639612,-133.527996,1211,71696.0,,,,,republican
20,Alaska,Prince of Wales-Hyder,5886,2646,3240,2718,0.4495412844036697,0.4617737003058104,55.415683,-132.875734,2310,55857.0,0.0,,,,republican
21,Alaska,Sitka,8518,4115,4403,5413,0.4830946231509744,0.6354778116928856,57.142509,-135.332624,3439,82083.0,0.0,,,,republican
22,Alaska,Skagway,1329,662,667,1017,0.4981188863807373,0.7652370203160271,59.575097,-135.335418,390,75000.0,0.0,,,,republican
23,Alaska,Southeast Fairbanks,6849,3072,3777,5113,0.448532632501095,0.7465323404876625,63.864997,-143.218628,2127,68634.0,0.0,,,,republican
24,Alaska,Wrangell,2162,938,1224,1275,0.4338575393154487,0.589731729879741,56.279121,-132.040326,842,54891.0,3.0,4.23,235.5,42.33,republican
25,Alaska,Yakutat,562,222,340,176,0.395017793594306,0.3131672597864768,59.999083,-140.239593,216,72083.0,,,,,republican
26,Alaska,Yukon-Koyukuk,5433,2594,2839,1225,0.477452604454261,0.22547395545739,65.376131,-151.576855,1899,43405.0,0.0,,,,republican
27,Arizona,Apache,66473,33434,33039,13893,0.5029711311359499,0.2090021512493794,35.385845,-109.493747,19443,34788.0,3.0,4.0,200.7,62.67,democrat
28,Arizona,Cochise,125092,61294,63798,95923,0.4899913663543632,0.7668196207591212,31.881793,-109.75412,49239,55077.0,3.0,3.97,96.93,149.67,democrat
29,Arizona,Coconino,144942,73410,71532,87259,0.5064784534503457,0.6020270177036332,35.829692,-111.773728,51037,61888.0,0.0,,,,democrat
30,Arizona,Gila,53211,26667,26544,37699,0.5011557760613407,0.708481329048505,33.789618,-110.81187,22306,51406.0,0.0,,,,democrat
31,Arizona,Graham,38145,17705,20440,27983,0.4641499541224276,0.733595490890025,32.931828,-109.87831,11577,57105.0,3.0,3.97,141.67,149.67,democrat
32,Arizona,Greenlee,9542,4440,5102,8210,0.4653112555019912,0.8604066233494027,33.238872,-109.242323,3265,67723.0,0.0,,,,democrat
33,Arizona,La Paz,16845,8125,8720,11104,0.4823389729890175,0.6591867022855447,33.727625,-114.038793,8678,39732.0,3.0,3.73,146.64,147.0,democrat
34,Arizona,Maricopa,4367186,2197036,2170150,3077431,0.5030781835259592,0.7046713833576129,33.346541,-112.495534,1632151,72944.0,3.0,3.73,33.68,147.0,democrat
35,Arizona,Mohave,211274,104118,107156,180762,0.4928102842753959,0.8555809044179596,35.717705,-113.749689,93179,49738.0,3.0,3.63,179.58,72.33,democrat
36,Arizona,Navajo,106609,52795,53814,49282,0.4952208537740716,0.4622686639964731,35.390934,-110.320908,36567,46126.0,0.0,,,,democrat
37,Arizona,Pima,1035063,523344,511719,720319,0.5056156002098423,0.6959180262457454,32.128237,-111.783018,417483,59215.0,3.0,3.97,68.97,149.67,democrat
38,Arizona,Pinal,420625,201387,219238,307365,0.4787803863298662,0.7307340267459138,32.91891,-111.367257,145554,65488.0,3.0,3.97,64.0,149.67,democrat
39,Arizona,Santa Cruz,47463,24697,22766,30808,0.520342161262457,0.6490950845922087,31.525904,-110.84519,16428,45089.0,3.0,3.97,73.94,149.67,democrat
40,Arizona,Yavapai,233789,118824,114965,202822,0.5082531684553165,0.8675429553999546,34.630044,-112.573745,103934,56170.0,3.0,3.73,103.15,147.0,democrat
41,Arizona,Yuma,202944,98032,104912,134869,0.4830495111952065,0.6645626379690949,32.773942,-113.910905,72716,52563.0,3.0,4.2,107.5,127.67,democrat
42,California,Alameda,1673133,845577,827556,600791,0.5053854057029536,0.3590814358452077,37.648081,-121.913304,581683,112017.0,3.0,0.0,11.81,0.0,democrat
43,California,Alpine,1344,613,731,796,0.4561011904761904,0.5922619047619048,38.61761,-119.798999,434,96000.0,3.0,0.0,68.35,0.0,democrat
44,California,Amador,40095,18135,21960,32794,0.4523007856341189,0.8179074697593216,38.44355,-120.653856,15394,69955.0,3.0,0.0,54.68,0.0,democrat
45,California,Butte,217884,109716,108168,169550,0.5035523489563254,0.7781663637531898,39.665959,-121.601919,85292,59863.0,3.0,0.0,19.08,0.0,democrat
46,California,Calaveras,45349,22775,22574,38373,0.5022161458907584,0.8461708086176101,38.187844,-120.555115,16809,70119.0,3.0,0.0,52.57,0.0,democrat
47,California,Colusa,21780,10638,11142,14975,0.4884297520661157,0.6875573921028466,39.177739,-122.237563,7303,61861.0,3.0,0.0,37.1,0.0,democrat
48,California,Contra Costa,1161643,590637,571006,580523,0.5084496699932768,0.4997430363717596,37.919479,-121.951543,405106,110455.0,3.0,0.0,9.13,0.0,democrat
49,California,Del Norte,27655,12894,14761,19184,0.4662448020249503,0.6936901102874706,41.749903,-123.980998,9531,53280.0,0.0,,,,democrat
50,California,El Dorado,190568,95363,95205,161381,0.5004145501868099,0.8468420721212375,38.785532,-120.534398,74535,88770.0,3.0,0.0,63.38,0.0,democrat
51,California,Fresno,1003150,500456,502694,544633,0.498884513781588,0.5429227932014156,36.761006,-119.655019,314421,61276.0,3.0,0.0,9.2,0.0,democrat
52,California,Glenn,28675,14126,14549,21496,0.4926242371403662,0.7496425457715781,39.602546,-122.4017,9753,56332.0,3.0,0.0,49.46,0.0,democrat
53,California,Humboldt,137014,68610,68404,104538,0.5007517479965551,0.7629731268337542,40.706673,-123.925818,53729,53350.0,0.0,,,,democrat
54,California,Imperial,180051,87362,92689,86476,0.4852069691365224,0.4802861411488967,33.040816,-115.355395,45541,49078.0,3.0,0.0,28.65,0.0,democrat
55,California,Inyo,18804,9258,9546,13914,0.49234205488194,0.7399489470325462,36.561977,-117.403927,7832,60925.0,,,,,democrat
56,California,Kern,905644,439805,465839,564183,0.48562680258468,0.6229633277535102,35.346629,-118.729506,274705,58824.0,3.0,4.17,21.0,144.67,democrat
57,California,Kings,151887,68015,83872,86371,0.4478000092173787,0.5686530117784933,36.072478,-119.81553,43286,63267.0,3.0,0.0,49.65,0.0,democrat
58,California,Lake,67749,33693,34056,49473,0.4973209936678032,0.7302395607315237,39.094802,-122.746757,26307,53399.0,3.0,0.0,16.47,0.0,democrat
59,California,Lassen,32949,11588,21361,24933,0.3516950438556557,0.7567149230629154,40.721089,-120.629931,8910,59292.0,0.0,,,,democrat
60,California,Los Angeles,10019635,5055907,4963728,4382079,0.5045999180608874,0.43734916491469,34.196398,-118.261862,3342811,76367.0,3.0,3.8,10.19,71.0,democrat
61,California,Madera,156304,80293,76011,85946,0.5136976660866005,0.5498643668748081,37.210039,-119.749852,43578,66709.0,3.0,0.0,30.26,0.0,democrat
62,California,Marin,262387,133243,129144,197622,0.5078109814891744,0.7531699360105493,38.051817,-122.745974,103751,131008.0,3.0,0.0,16.09,0.0,democrat
63,California,Mariposa,17225,8410,8815,14774,0.4882438316400581,0.8577068214804063,37.570034,-119.91286,7588,53304.0,3.0,0.0,48.22,0.0,democrat
64,California,Mendocino,91534,46010,45524,70801,0.5026547512399764,0.77349400222868,39.432388,-123.442881,34183,56378.0,3.0,0.0,30.39,0.0,democrat
65,California,Merced,279150,137444,141706,128897,0.4923661114096364,0.4617481640694967,37.194806,-120.722802,81618,58861.0,3.0,0.0,24.11,0.0,democrat
66,California,Modoc,8723,4335,4388,7416,0.4969620543391035,0.8501662272154076,41.592919,-120.71837,3413,51090.0,3.0,0.0,150.99,0.0,democrat
67,California,Mono,13291,6007,7284,10677,0.451959972914002,0.8033255586487097,37.915836,-118.875167,5361,71138.0,,,,,democrat
68,California,Monterey,438953,214658,224295,190148,0.48902274275378,0.4331853296366581,36.240107,-121.315573,129977,82013.0,3.0,0.0,42.87,0.0,democrat
69,California,Napa,138795,69255,69540,92927,0.4989733059548255,0.6695270002521705,38.507351,-122.325995,48745,97498.0,3.0,0.0,27.46,0.0,democrat
70,California,Nevada,102090,51513,50577,92393,0.5045841904202174,0.9050151826819473,39.295191,-120.773446,40877,74617.0,3.0,0.0,20.19,0.0,democrat
71,California,Orange,3182923,1604231,1578692,1707592,0.5040118783897694,0.5364854883388633,33.675687,-117.777207,1057592,100485.0,3.0,0.0,9.01,0.0,democrat
72,California,Placer,400330,203418,196912,311591,0.50812579621812,0.7783353733170134,39.062032,-120.722718,149714,99734.0,3.0,0.0,43.62,0.0,democrat
73,California,Plumas,19631,9718,9913,17401,0.495033365595232,0.886404156690948,39.99517,-120.829516,8231,57885.0,3.0,0.0,91.34,0.0,democrat
74,California,Riverside,2409331,1201934,1207397,1232550,0.4988662827980049,0.5115735446893764,33.729828,-116.002239,740506,76066.0,3.0,0.0,14.66,0.0,democrat
75,California,Sacramento,1571767,798959,772808,818588,0.5083189811212476,0.5208074733723256,38.450011,-121.340441,559036,76422.0,3.0,0.0,12.24,0.0,democrat
