*Trifecta status by state*,,,,,
State,Trifecta status,Year of last status change,Governor,Senate,House
Alabama,Republican trifecta,2011,R,R,R
Alaska,Divided government,2015,R,R,S
Arizona,Republican trifecta,2009,R,R,R
Arkansas,Republican trifecta,2015,R,R,R
California,Democratic trifecta,2011,D,D,D
Colorado,Democratic trifecta,2019,D,D,D
Connecticut,Democratic trifecta,2011,D,D,D
Delaware,Democratic trifecta,2009,D,D,D
Florida,Republican trifecta,2011,R,R,R
Georgia,Republican trifecta,2005,R,R,R
Hawaii,Democratic trifecta,2011,D,D,D
Idaho,Republican trifecta,1995,R,R,R
Illinois,Democratic trifecta,2019,D,D,D
Indiana,Republican trifecta,2011,R,R,R
Iowa,Republican trifecta,2017,R,R,R
Kansas,Divided government,2019,D,R,R
Kentucky,Divided government,2019,D,R,R
Louisiana,Divided government,2016,D,R,R
Maine,Democratic trifecta,2019,D,D,D
Maryland,Divided government,2015,R,D,D
Massachusetts,Divided government,2015,R,D,D
Michigan,Divided government,2019,D,R,R
Minnesota,Divided government,2015,D,R,D
Mississippi,Republican trifecta,2012,R,R,R
Missouri,Republican trifecta,2017,R,R,R
Montana,Republican trifecta,2021,R,R,R
Nebraska,Republican trifecta,1999,R,R,R
Nevada,Democratic trifecta,2019,D,D,D
New Hampshire,Republican trifecta,2020,R,R,R
New Jersey,Democratic trifecta,2018,D,D,D
New Mexico,Democratic trifecta,2019,D,D,D
New York,Democratic trifecta,2019,D,D,D
North Carolina,Divided government,2017,D,R,R
North Dakota,Republican trifecta,1995,R,R,R
Ohio,Republican trifecta,2011,R,R,R
Oklahoma,Republican trifecta,2011,R,R,R
Oregon,Democratic trifecta,2013,D,D,D
Pennsylvania,Divided government,2015,D,R,R
Rhode Island,Democratic trifecta,2013,D,D,D
South Carolina,Republican trifecta,2003,R,R,R
South Dakota,Republican trifecta,1995,R,R,R
Tennessee,Republican trifecta,2011,R,R,R
Texas,Republican trifecta,2003,R,R,R
Utah,Republican trifecta,1985,R,R,R
Vermont,Divided government,2017,R,D,D
Virginia,Divided government,2022,R,D,R
Washington,Democratic trifecta,2017,D,D,D
West Virginia,Republican trifecta,2017,R,R,R
Wisconsin,Divided government,2019,D,R,R
Wyoming,Republican trifecta,2011,R,R,R
